,Lear 45XR,VNY Challenger 300,Challenger 300,Challenger 350,Challenger 604,Challenger 605,G450,GIVSP,G650ER,Falcon 2000,Hawker 800XP,Citation XLS +,Phenom 300,Falcon 900LX,Challenger 850,G150,G550,Global 5000,CJ1,CJ3,CJ4,Premier Y1 (2 Pilots),Premier Y1 (3 Pilots),Premier Y2 (2 Pilots),Premier Y2 (3 Pilots),Single Owner Challenger 300 (75h),Dual Owner Challenger 300 (75h),Citation Sovereign+,Global 5000,Daxair,CJ3 Lease,Citation XLS +,Floating Challenger 300,Floating Citation XLS,Floating Lear 45XR,Citation X+,Phenom 300E,Lear 75,Lear 60XR
Inspection Reserve,$75,$475,$75,$75,$75,$75,$75,$150,$75,$75,$100,$75,$0,$75,$75,$75,$75,$75,$75,$75,$75,$75,$75,$75,$75,$75,$75,$100,$75,$75,$75,$75,$75,$75,$75,$100,$100,$100,$100
Trip Expenses,$250,$250,$250,$400,$250,$250,$250,$250,$250,$250,$250,$250,$200,$250,$250,$250,$250,$250,$250,$250,$250,$100,$100,$100,$100,$400,$400,$250,$250,$250,$250,$250,$400,$250,$250,$250,$200,$250,$250
Average Aircraft Cost,"$4,000,000","$11,000,000","$11,000,000","$14,000,000","$6,500,000","$12,000,000","$25,000,000","$4,000,000","$55,000,000","$5,650,000","$4,700,000","$7,000,000","$9,000,000",TBD,"$7,000,000","$6,000,000","$22,500,000","$14,000,000","$1,000,000","$5,000,000","$11,250,000","$2,000,000","$2,000,000","$2,000,000","$2,000,000","$11,000,000","$11,000,000","$9,000,000","$14,000,000","$5,000,000","$5,000,000","$9,000,000","$12,000,000","$9,000,000","$4,000,000","$9,000,000","$9,000,000","$7,000,000","$2,000,000"
Square footage,2940,4550,4550,4970,4620,4660,7189,7212,10302,4896,2968,3074,2970,4209,6319,3306,8500,9500,2860,2860,2860,2232,2232,2232,2232,4550,4550,4860,9500,2860,2860,3074,4550,3074,2940,4860,2970,3174,2940
Charter Hourly Rate,"$3,900","$6,000","$6,000","$6,200","$5,700","$6,000",$750,"$7,000","$12,500",,"$4,500","$4,200","$4,200","$9,500","$10,000","$4,200","$10,000","$9,500","$2,500","$3,500","$4,100","$3,300","$3,300","$3,300","$3,300","$5,900","$5,900","$4,500","$9,500","$3,700","$3,500","$4,600","$6,500","$4,400","$4,000","$4,500","$4,200","$4,000","$4,300"
Max Aircraft Usage,500,450,450,475,450,400,400,450,450,450,450,450,450,450,450,360,375,,400,500,500,200,250,300,350,400,425,450,,600,500,450,600,,,450,500,500,500
Fuel Surcharge,$300,$600,$600,$400,,$400,,$800,,,,$300,$200,,,,,,,$300,$300,,,,,,,$300,,,$200,,$0,,,$300,$300,$300,$400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Hangar Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrismJet,"$70,000","$109,200","$109,200","$119,280","$110,880","$111,840","$172,536","$181,240","$252,000","$117,504","$71,232","$73,776","$71,280","$101,016",,"$79,344","$228,000",,"$50,000","$64,000","$71,965","$36,604","$36,604","$54,907","$54,907","$109,200","$109,200","$116,640",,"$64,000","$64,000","$73,776","$109,200","$73,776","$70,000","$116,640","$71,280","$76,176","$70,560"
AeroCenters (GEG),,,,,,,,,,,,,,"$60,000",,,,,,,,,,,,,,,,,,,,,,,,,
jetCenters of CO (APA),,"$147,804","$147,804",,,,,,,,,"$102,396","$95,088",,,,,,,,,,,,,"$147,804","$147,804","$102,396",,,,"$102,396","$147,804","$102,396",,"$102,396","$95,088",,
Sky Harbour (APA),,"$201,600","$201,600",,,,,,,,,"$135,600","$127,800",,,,,,,,,,,,,"$201,600","$201,600","$135,600",,,,"$135,600","$201,600","$135,600",,"$135,600","$127,800",,
Signature (BJC),,"$94,620","$94,620",,,,,,,,,"$64,620","$61,200",,,,,,,,,,,,,"$94,620","$94,620","$64,620",,,,"$64,620","$94,620","$64,620",,"$64,620","$61,200",,
Sheltair (BJC),,"$122,544","$122,544",,,,,,,,,"$82,680","$77,556",,,,,,,,,,,,,"$122,544","$122,544","$82,680",,,,"$82,680","$122,544","$82,680",,"$82,680","$77,556",,
Sky Harbour (APA Private),"$387,000","$387,000","$387,000","$387,000","$387,000","$387,000","$387,000","$387,000","$387,000","$387,000","$387,000","$387,000","$387,000","$387,000",,,,,,,,,,,,"$387,000","$387,000","$387,000",,,,"$387,000","$387,000","$387,000","$387,000","$387,000","$387,000","$387,000","$387,000"
Average for CO,,"$141,642","$141,642",,,,,,,,,"$96,324","$90,411",,,,,,,,,,,,,"$141,642","$141,642","$96,324",,,,"$96,324","$141,642","$96,324",,"$96,324","$90,411",,
TBD,"$84,000","$131,040","$131,040","$143,136","$133,056","$134,208","$207,043","$217,488","$302,400","$141,005","$85,478","$88,531","$85,536","$121,219",$0,"$95,213","$419,000",,"$60,000","$76,800","$86,358","$43,925","$43,925","$65,889","$65,889","$131,040","$131,040","$139,968",,"$76,800","$76,800","$88,531","$131,040","$88,531","$84,000","$139,968","$85,536","$91,411","$84,672"
(SNA),,,,"$100,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle and Cooke,,"$144,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
